rl_method,clust_method,n_clusters,labels
DEC,K-Means,2,[1 0 1 ... 0 1 1]
DEC,K-Means,3,[1 1 2 ... 1 2 0]
DEC,K-Means,4,[0 0 1 ... 2 3 1]
DEC,K-Means,6,[5 3 2 ... 3 2 2]
DEC,K-Means,7,[3 2 4 ... 5 1 4]
VaDE,GMM,2,[1 1 0 ... 1 0 0]
VaDE,GMM,3,[2 2 0 ... 1 0 0]
VaDE,GMM,4,[3 3 3 ... 1 3 0]
VaDE,GMM,6,[3 3 5 ... 3 1 5]
VaDE,GMM,7,[6 2 4 ... 5 3 4]
