rl_method,clust_method,n_clusters,variable,same_clust,Acc,ARI,AMI,Sil
DEC,K-Means,2,gender,0.35383025759323333,0.5480392156862746,0.0,0.0,0.9581542
DEC,K-Means,3,cv_risk,0.15189734717416362,0.35980392156862745,0.0004378464806305924,0.004001654099230473,0.92815226
VaDE,GMM,2,gender,0.29876009227220274,0.5480392156862746,0.0,0.0,0.5720164
VaDE,GMM,3,cv_risk,0.20034602076124547,0.3607843137254902,0.0005459901706236637,2.418171278287014e-05,0.44687805
